Home,score,Guest,Home Score,Guest Score,Result
Брентфорд,2 : 0,Арсенал,2 , 0,1
Манчестер Юнайтед,5 : 1,Лидс Юнайтед,5 , 1,1
Уотфорд,3 : 2,Астон Вилла,3 , 2,1
Лестер Сити,1 : 0,Вулверхэмптон,1 , 0,1
Эвертон,3 : 1,Саутгемптон,3 , 1,1
Бёрнли,1 : 2,Брайтон энд Хоув Альбион,1 , 2,-1
Челси,3 : 0,Кристал Пэлас,3 , 0,1
Норвич Сити,0 : 3,Ливерпуль,0 , 3,-1
Ньюкасл Юнайтед,2 : 4,Вест Хэм Юнайтед,2 , 4,-1
Тоттенхэм Хотспур,1 : 0,Манчестер Сити,1 , 0,1
Ливерпуль,2 : 0,Бёрнли,2 , 0,1
Манчестер Сити,5 : 0,Норвич Сити,5 , 0,1
Астон Вилла,2 : 0,Ньюкасл Юнайтед,2 , 0,1
Кристал Пэлас,0 : 0,Брентфорд,0 , 0,0
Лидс Юнайтед,2 : 2,Эвертон,2 , 2,0
Брайтон энд Хоув Альбион,2 : 0,Уотфорд,2 , 0,1
Вулверхэмптон,0 : 1,Тоттенхэм Хотспур,0 , 1,-1
Саутгемптон,1 : 1,Манчестер Юнайтед,1 , 1,0
Арсенал,0 : 2,Челси,0 , 2,-1
Вест Хэм Юнайтед,4 : 1,Лестер Сити,4 , 1,1
Манчестер Сити,5 : 0,Арсенал,5 , 0,1
Вест Хэм Юнайтед,2 : 2,Кристал Пэлас,2 , 2,0
Ньюкасл Юнайтед,2 : 2,Саутгемптон,2 , 2,0
Брайтон энд Хоув Альбион,0 : 2,Эвертон,0 , 2,-1
Норвич Сити,1 : 2,Лестер Сити,1 , 2,-1
Астон Вилла,1 : 1,Брентфорд,1 , 1,0
Ливерпуль,1 : 1,Челси,1 , 1,0
Тоттенхэм Хотспур,1 : 0,Уотфорд,1 , 0,1
Бёрнли,1 : 1,Лидс Юнайтед,1 , 1,0
Вулверхэмптон,0 : 1,Манчестер Юнайтед,0 , 1,-1
Кристал Пэлас,3 : 0,Тоттенхэм Хотспур,3 , 0,1
Уотфорд,0 : 2,Вулверхэмптон,0 , 2,-1
Манчестер Юнайтед,4 : 1,Ньюкасл Юнайтед,4 , 1,1
Лестер Сити,0 : 1,Манчестер Сити,0 , 1,-1
Брентфорд,0 : 1,Брайтон энд Хоув Альбион,0 , 1,-1
Арсенал,1 : 0,Норвич Сити,1 , 0,1
Саутгемптон,0 : 0,Вест Хэм Юнайтед,0 , 0,0
Челси,3 : 0,Астон Вилла,3 , 0,1
Лидс Юнайтед,0 : 3,Ливерпуль,0 , 3,-1
Эвертон,3 : 1,Бёрнли,3 , 1,1
Ньюкасл Юнайтед,1 : 1,Лидс Юнайтед,1 , 1,0
Вулверхэмптон,0 : 2,Брентфорд,0 , 2,-1
Норвич Сити,1 : 3,Уотфорд,1 , 3,-1
Ливерпуль,3 : 0,Кристал Пэлас,3 , 0,1
Бёрнли,0 : 1,Арсенал,0 , 1,-1
Манчестер Сити,0 : 0,Саутгемптон,0 , 0,0
Астон Вилла,3 : 0,Эвертон,3 , 0,1
Вест Хэм Юнайтед,1 : 2,Манчестер Юнайтед,1 , 2,-1
Брайтон энд Хоув Альбион,2 : 1,Лестер Сити,2 , 1,1
Тоттенхэм Хотспур,0 : 3,Челси,0 , 3,-1
Манчестер Юнайтед,0 : 1,Астон Вилла,0 , 1,-1
Челси,0 : 1,Манчестер Сити,0 , 1,-1
Уотфорд,1 : 1,Ньюкасл Юнайтед,1 , 1,0
Эвертон,2 : 0,Норвич Сити,2 , 0,1
Лидс Юнайтед,1 : 2,Вест Хэм Юнайтед,1 , 2,-1
Лестер Сити,2 : 2,Бёрнли,2 , 2,0
Брентфорд,3 : 3,Ливерпуль,3 , 3,0
Саутгемптон,0 : 1,Вулверхэмптон,0 , 1,-1
Арсенал,3 : 1,Тоттенхэм Хотспур,3 , 1,1
Кристал Пэлас,1 : 1,Брайтон энд Хоув Альбион,1 , 1,0
